child_id,grade,subject,chapter,num_quizzes,profile,quiz_id,nb_questions,start_time,end_time,time_spent,attempts_count,prev_final_score,final_score,completed,failed,abandoned,correct_count,wrong_count,hint_count,q1_correct,q1_wrong_attempts,q1_hint,q2_correct,q2_wrong_attempts,q2_hint,q3_correct,q3_wrong_attempts,q3_hint,q4_correct,q4_wrong_attempts,q4_hint,q5_correct,q5_wrong_attempts,q5_hint,q6_correct,q6_wrong_attempts,q6_hint,q7_correct,q7_wrong_attempts,q7_hint,q8_correct,q8_wrong_attempts,q8_hint
child_010,2,Math,Addition,20,weak,Add_01,5,2025-07-11 06:02:52.926045,2025-07-11 06:08:47.926045,355.0,1,,0.06,0,1,0,1,3,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
child_010,2,Math,Addition,20,weak,Add_01,5,2025-06-11 08:57:52.926474,2025-06-11 09:03:01.926474,309.0,2,0.06,0.64,1,0,0,5,2,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,,,,,,,,,
child_001,2,Math,Addition,20,strong,Add_02,5,2025-07-03 00:26:52.927114,2025-07-03 00:27:53.927114,61.0,1,,1.0,1,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_002,2,Math,Addition,20,strong,Add_02,5,2025-06-02 10:41:52.927779,2025-06-02 10:43:25.927779,93.0,1,,0.9,1,0,0,5,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,,,,,,,,,
child_003,2,Math,Addition,20,strong,Add_02,5,2025-06-19 00:44:52.928366,2025-06-19 00:47:15.928366,143.0,1,,0.99,1,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_004,2,Math,Addition,20,strong,Add_02,5,2025-05-23 21:34:52.929074,2025-05-23 21:42:02.929074,430.0,1,,0.83,1,0,0,5,2,0,1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,,,,,,,,,
child_005,2,Math,Addition,20,strong,Add_02,5,2025-06-04 06:56:52.929735,2025-06-04 07:03:33.929735,401.0,1,,0.96,1,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_006,2,Math,Addition,20,average,Add_02,5,2025-06-01 14:27:52.930439,2025-06-01 14:33:08.930439,316.0,1,,0.88,1,0,0,5,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_007,2,Math,Addition,20,average,Add_02,5,2025-07-26 23:55:52.934828,2025-07-27 00:02:13.934828,381.0,1,,0.84,1,0,0,5,2,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_008,2,Math,Addition,20,average,Add_02,5,2025-07-22 21:58:52.935772,2025-07-22 22:04:55.935772,363.0,1,,0.78,1,0,0,5,2,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,,,,,,,,,
child_009,2,Math,Addition,20,weak,Add_02,5,2025-06-06 15:14:52.936464,2025-06-06 15:18:11.936464,199.0,1,,0.09,0,1,0,1,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
child_009,2,Math,Addition,20,weak,Add_02,5,2025-07-19 01:45:52.938399,2025-07-19 01:47:36.938399,104.0,2,0.09,0.31,0,1,0,3,3,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,,,,,,,,,
child_009,2,Math,Addition,20,weak,Add_02,5,2025-06-29 14:00:52.939067,2025-06-29 14:03:45.939067,173.0,3,0.31,0.46,0,1,0,3,3,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,,,,,,,,,
child_010,2,Math,Addition,20,weak,Add_02,5,2025-06-29 03:16:52.939595,2025-06-29 03:21:23.939595,271.0,1,,0.18,0,1,0,2,3,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,
child_010,2,Math,Addition,20,weak,Add_02,5,2025-06-15 14:38:52.940117,2025-06-15 14:43:17.940117,265.0,2,0.18,0.25,0,1,0,2,3,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
child_010,2,Math,Addition,20,weak,Add_02,5,2025-07-06 05:11:52.940570,2025-07-06 05:13:29.940570,97.0,3,0.25,0.14,0,1,0,1,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
child_001,2,Math,Addition,20,strong,Add_03,6,2025-07-02 03:20:52.941012,2025-07-02 03:23:07.941012,135.0,1,,0.99,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_002,2,Math,Addition,20,strong,Add_03,6,2025-07-04 04:21:52.941595,2025-07-04 04:26:32.941595,280.0,1,,0.98,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_003,2,Math,Addition,20,strong,Add_03,6,2025-05-25 07:30:52.942235,2025-05-25 07:32:36.942235,104.0,1,,0.92,1,0,0,6,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1.0,0.0,0.0,,,,,,
child_004,2,Math,Addition,20,strong,Add_03,6,2025-05-03 10:29:52.942910,2025-05-03 10:35:03.942910,311.0,1,,0.75,1,0,0,6,1,2,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1.0,0.0,0.0,,,,,,
child_005,2,Math,Addition,20,strong,Add_03,6,2025-05-04 07:04:52.943514,2025-05-04 07:06:42.943514,110.0,1,,0.99,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_006,2,Math,Addition,20,average,Add_03,6,2025-05-19 07:58:52.944146,2025-05-19 08:03:23.944146,271.0,1,,0.83,1,0,0,6,0,2,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1.0,0.0,1.0,,,,,,
child_007,2,Math,Addition,20,average,Add_03,6,2025-07-04 03:38:52.944757,2025-07-04 03:39:49.944757,57.0,1,,1.0,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_008,2,Math,Addition,20,average,Add_03,6,2025-05-04 22:26:52.945350,2025-05-04 22:34:01.945350,429.0,1,,0.89,1,0,0,6,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1.0,0.0,0.0,,,,,,
child_009,2,Math,Addition,20,weak,Add_03,6,2025-05-22 08:17:52.945966,2025-05-22 08:22:23.945966,271.0,1,,0.05,0,1,0,1,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_009,2,Math,Addition,20,weak,Add_03,6,2025-06-02 11:45:52.946358,2025-06-02 11:53:01.946358,429.0,2,0.05,0.07,0,1,0,1,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_009,2,Math,Addition,20,weak,Add_03,6,2025-05-27 13:09:52.946786,2025-05-27 13:12:39.946786,167.0,3,0.07,0.74,1,0,0,6,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,1.0,0.0,,,,,,
child_010,2,Math,Addition,20,weak,Add_03,6,2025-07-24 10:55:52.947393,2025-07-24 10:59:26.947393,214.0,1,,0.24,0,1,0,2,3,1,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_010,2,Math,Addition,20,weak,Add_03,6,2025-05-18 22:23:52.947876,2025-05-18 22:31:08.947876,436.0,2,0.24,0.33,0,1,0,3,3,1,1,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0.0,0.0,0.0,,,,,,
child_010,2,Math,Addition,20,weak,Add_03,6,2025-05-24 05:00:52.948385,2025-05-24 05:03:29.948385,157.0,3,0.33,0.41,0,1,0,3,3,0,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0.0,0.0,0.0,,,,,,
child_001,2,Math,Addition,20,strong,Add_04,5,2025-06-11 21:34:52.949021,2025-06-11 21:41:06.949021,374.0,1,,0.87,1,0,0,5,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,,,,,,,,,
child_002,2,Math,Addition,20,strong,Add_04,5,2025-06-14 06:17:52.949564,2025-06-14 06:22:12.949564,260.0,1,,0.88,1,0,0,5,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,,,,,,,,,
child_003,2,Math,Addition,20,strong,Add_04,5,2025-05-09 23:17:52.950136,2025-05-09 23:18:52.950136,60.0,1,,1.0,1,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_004,2,Math,Addition,20,strong,Add_04,5,2025-06-30 08:39:52.950659,2025-06-30 08:45:47.950659,355.0,1,,0.87,1,0,0,5,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_005,2,Math,Addition,20,strong,Add_04,5,2025-07-07 00:06:52.951241,2025-07-07 00:13:30.951241,398.0,1,,0.96,1,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_006,2,Math,Addition,20,average,Add_04,5,2025-07-24 14:10:52.951815,2025-07-24 14:14:31.951815,219.0,1,,0.89,1,0,0,5,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_007,2,Math,Addition,20,average,Add_04,5,2025-05-27 06:08:52.952358,2025-05-27 06:14:12.952358,320.0,1,,0.88,1,0,0,5,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,,,,,,,,,
child_008,2,Math,Addition,20,average,Add_04,5,2025-06-03 09:50:52.952945,2025-06-03 09:51:51.952945,59.0,1,,0.79,1,0,0,5,2,1,1,2,0,1,0,0,1,0,0,1,0,1,1,0,0,,,,,,,,,
child_009,2,Math,Addition,20,weak,Add_04,5,2025-05-27 03:34:52.953532,2025-05-27 03:37:40.953532,168.0,1,,0.89,1,0,0,5,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_010,2,Math,Addition,20,weak,Add_04,5,2025-07-01 07:11:52.954090,2025-07-01 07:17:34.954090,342.0,1,,0.96,1,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_001,2,Math,Addition,20,strong,Add_05,6,2025-06-22 01:16:52.954627,2025-06-22 01:22:11.954627,319.0,1,,0.71,1,0,0,6,2,3,1,0,0,1,0,0,1,2,1,1,0,1,1,0,1,1.0,0.0,0.0,,,,,,
child_002,2,Math,Addition,20,strong,Add_05,6,2025-07-16 05:31:52.955231,2025-07-16 05:33:04.955231,72.0,1,,0.77,1,0,0,6,0,3,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1.0,0.0,0.0,,,,,,
child_003,2,Math,Addition,20,strong,Add_05,6,2025-07-26 06:24:52.955877,2025-07-26 06:29:41.955877,289.0,1,,0.98,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_004,2,Math,Addition,20,strong,Add_05,6,2025-05-14 05:18:52.956468,2025-05-14 05:24:04.956468,312.0,1,,0.75,1,0,0,6,1,2,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1.0,0.0,1.0,,,,,,
child_005,2,Math,Addition,20,strong,Add_05,6,2025-06-28 23:39:52.957098,2025-06-28 23:42:39.957098,167.0,1,,0.99,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_006,2,Math,Addition,20,average,Add_05,6,2025-06-04 00:12:52.957684,2025-06-04 00:15:36.957684,164.0,1,,0.81,1,0,0,6,2,1,1,0,0,1,0,0,1,0,0,1,2,0,1,0,0,1.0,0.0,1.0,,,,,,
child_007,2,Math,Addition,20,average,Add_05,6,2025-05-21 06:57:52.958477,2025-05-21 06:59:40.958477,108.0,1,,0.43,0,1,0,3,3,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,,,,,,
child_007,2,Math,Addition,20,average,Add_05,6,2025-06-21 05:30:52.959221,2025-06-21 05:32:23.959221,91.0,2,0.43,0.53,0,1,0,4,3,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0.0,0.0,0.0,,,,,,
child_007,2,Math,Addition,20,average,Add_05,6,2025-07-09 11:09:52.960254,2025-07-09 11:14:48.960254,296.0,3,0.53,0.7,0,1,0,5,3,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0.0,2.0,0.0,,,,,,
child_008,2,Math,Addition,20,average,Add_05,6,2025-05-22 22:58:52.962250,2025-05-22 23:00:22.962250,90.0,1,,0.3,0,1,0,2,3,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_008,2,Math,Addition,20,average,Add_05,6,2025-08-01 14:58:52.962757,2025-08-01 15:03:08.962757,256.0,2,0.3,0.66,0,1,0,5,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,2.0,0.0,,,,,,
child_008,2,Math,Addition,20,average,Add_05,6,2025-05-31 00:30:52.963451,2025-05-31 00:36:59.963451,367.0,3,0.66,0.9,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_009,2,Math,Addition,20,weak,Add_05,6,2025-06-25 14:14:52.964107,2025-06-25 14:17:56.964107,184.0,1,,0.34,0,1,0,3,3,1,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,,,,,,
child_009,2,Math,Addition,20,weak,Add_05,6,2025-06-27 10:50:52.964629,2025-06-27 10:58:20.964629,448.0,2,0.34,0.11,0,1,0,1,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_009,2,Math,Addition,20,weak,Add_05,6,2025-05-18 13:24:52.965072,2025-05-18 13:26:53.965072,121.0,3,0.11,0.37,0,1,0,3,3,1,1,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,,,,,,
child_010,2,Math,Addition,20,weak,Add_05,6,2025-05-04 05:05:52.965952,2025-05-04 05:09:53.965952,241.0,1,,0.26,0,1,0,2,3,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_010,2,Math,Addition,20,weak,Add_05,6,2025-06-14 10:11:52.966499,2025-06-14 10:19:22.966499,450.0,2,0.26,0.73,1,0,0,6,2,0,1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_001,2,Math,Addition,20,strong,Add_06,6,2025-07-23 13:19:52.967188,2025-07-23 13:22:52.967188,180.0,1,,0.81,1,0,0,6,2,1,1,0,0,1,0,1,1,0,0,1,2,0,1,0,0,1.0,0.0,0.0,,,,,,
child_002,2,Math,Addition,20,strong,Add_06,6,2025-07-02 06:43:52.967843,2025-07-02 06:50:59.967843,427.0,1,,0.86,1,0,0,6,2,0,1,0,0,1,0,0,1,0,0,1,2,0,1,0,0,1.0,0.0,0.0,,,,,,
child_003,2,Math,Addition,20,strong,Add_06,6,2025-06-15 10:38:52.968580,2025-06-15 10:41:42.968580,170.0,1,,0.99,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_004,2,Math,Addition,20,strong,Add_06,6,2025-05-12 05:58:52.971117,2025-05-12 06:01:47.971117,175.0,1,,0.42,0,1,0,3,3,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,,,,,,
child_004,2,Math,Addition,20,strong,Add_06,6,2025-06-24 11:13:52.971643,2025-06-24 11:16:45.971643,173.0,2,0.42,0.57,0,1,0,4,3,0,1,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0.0,0.0,0.0,,,,,,
child_004,2,Math,Addition,20,strong,Add_06,6,2025-06-24 22:22:52.972249,2025-06-24 22:29:14.972249,382.0,3,0.57,0.82,1,0,0,6,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_005,2,Math,Addition,20,strong,Add_06,6,2025-07-08 06:12:52.972927,2025-07-08 06:20:03.972927,431.0,1,,0.81,1,0,0,6,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1.0,0.0,0.0,,,,,,
child_006,2,Math,Addition,20,average,Add_06,6,2025-07-10 03:37:52.973554,2025-07-10 03:45:19.973554,447.0,1,,0.2,0,1,0,2,3,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_006,2,Math,Addition,20,average,Add_06,6,2025-06-01 07:16:52.974042,2025-06-01 07:20:30.974042,218.0,2,0.2,0.32,0,1,0,3,3,2,1,0,0,1,0,1,1,1,1,0,2,0,0,0,0,0.0,0.0,0.0,,,,,,
child_006,2,Math,Addition,20,average,Add_06,6,2025-05-22 08:34:52.974565,2025-05-22 08:42:21.974565,449.0,3,0.32,0.75,1,0,0,6,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,2.0,0.0,,,,,,
child_007,2,Math,Addition,20,average,Add_06,6,2025-07-04 00:09:52.976834,2025-07-04 00:14:34.976834,282.0,1,,0.9,1,0,0,6,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1.0,0.0,0.0,,,,,,
child_008,2,Math,Addition,20,average,Add_06,6,2025-06-15 14:55:52.977984,2025-06-15 15:01:37.977984,345.0,1,,0.15,0,1,0,2,3,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_008,2,Math,Addition,20,average,Add_06,6,2025-06-26 23:13:52.978941,2025-06-26 23:17:46.978941,234.0,2,0.15,0.69,1,0,0,6,2,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1.0,0.0,0.0,,,,,,
child_009,2,Math,Addition,20,weak,Add_06,6,2025-07-17 11:34:52.979982,2025-07-17 11:41:16.979982,384.0,1,,0.63,0,1,0,5,3,2,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0.0,1.0,1.0,,,,,,
child_009,2,Math,Addition,20,weak,Add_06,6,2025-07-03 08:18:52.980615,2025-07-03 08:20:52.980615,120.0,2,0.63,0.37,0,1,0,2,3,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_009,2,Math,Addition,20,weak,Add_06,6,2025-07-17 21:37:52.981143,2025-07-17 21:38:44.981143,52.0,3,0.37,0.19,0,1,0,1,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,
child_010,2,Math,Addition,20,weak,Add_06,6,2025-07-30 02:45:52.981558,2025-07-30 02:47:03.981558,71.0,1,,0.36,0,1,0,3,3,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,,,,,,
child_010,2,Math,Addition,20,weak,Add_06,6,2025-07-19 12:01:52.982104,2025-07-19 12:04:30.982104,158.0,2,0.36,0.44,0,1,0,3,3,1,1,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0.0,0.0,0.0,,,,,,
child_010,2,Math,Addition,20,weak,Add_06,6,2025-06-08 01:00:52.982633,2025-06-08 01:07:41.982633,409.0,3,0.44,0.71,1,0,0,6,2,2,1,0,0,1,0,0,1,0,1,1,2,1,1,0,0,1.0,0.0,0.0,,,,,,
child_001,2,Math,Addition,20,strong,Add_07,8,2025-07-20 01:23:52.983296,2025-07-20 01:30:12.983296,380.0,1,,0.9,1,0,0,8,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
child_002,2,Math,Addition,20,strong,Add_07,8,2025-07-20 09:20:52.984299,2025-07-20 09:22:43.984299,111.0,1,,0.94,1,0,0,8,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
child_003,2,Math,Addition,20,strong,Add_07,8,2025-07-19 09:23:52.984837,2025-07-19 09:29:21.984837,329.0,1,,0.9,1,0,0,8,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
child_004,2,Math,Addition,20,strong,Add_07,8,2025-07-14 09:33:52.985315,2025-07-14 09:35:49.985315,117.0,1,,0.83,1,0,0,8,0,3,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
child_005,2,Math,Addition,20,strong,Add_07,8,2025-06-28 12:11:52.985813,2025-06-28 12:16:14.985813,262.0,1,,0.9,1,0,0,8,2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
child_006,2,Math,Addition,20,average,Add_07,8,2025-06-24 04:18:52.986317,2025-06-24 04:20:47.986317,115.0,1,,0.92,1,0,0,8,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
child_007,2,Math,Addition,20,average,Add_07,8,2025-06-22 11:05:52.986853,2025-06-22 11:10:04.986853,252.0,1,,0.68,0,1,0,7,3,2,1,0,0,1,0,1,1,0,0,1,2,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
child_007,2,Math,Addition,20,average,Add_07,8,2025-06-19 04:50:52.987325,2025-06-19 04:58:15.987325,443.0,2,0.68,0.73,1,0,0,8,1,3,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
child_008,2,Math,Addition,20,average,Add_07,8,2025-05-13 12:58:52.987835,2025-05-13 13:06:03.987835,431.0,1,,0.84,1,0,0,8,2,1,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
child_009,2,Math,Addition,20,weak,Add_07,8,2025-06-15 06:33:52.988294,2025-06-15 06:40:07.988294,375.0,1,,0.39,0,1,0,4,3,1,1,1,0,1,0,1,1,0,0,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_009,2,Math,Addition,20,weak,Add_07,8,2025-07-25 11:35:52.988667,2025-07-25 11:39:32.988667,220.0,2,0.39,0.25,0,1,0,2,3,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_009,2,Math,Addition,20,weak,Add_07,8,2025-05-26 14:08:52.989067,2025-05-26 14:10:58.989067,126.0,3,0.25,0.33,0,1,0,3,3,1,1,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_010,2,Math,Addition,20,weak,Add_07,8,2025-05-11 07:33:52.989420,2025-05-11 07:37:25.989420,213.0,1,,0.39,0,1,0,4,3,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_010,2,Math,Addition,20,weak,Add_07,8,2025-05-04 09:37:52.989839,2025-05-04 09:43:41.989839,349.0,2,0.39,0.2,0,1,0,2,3,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_010,2,Math,Addition,20,weak,Add_07,8,2025-05-08 13:34:52.990197,2025-05-08 13:41:07.990197,375.0,3,0.2,0.11,0,1,0,2,3,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_001,2,Math,Addition,20,strong,Add_08,7,2025-05-31 03:43:52.990537,2025-05-31 03:45:47.990537,115.0,1,,0.93,1,0,0,7,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,,,
